Name,Hours,Address,Street,City,State,Zip Code,Latitude,Longitude
Shell Gas Station,24/7,"1042 N 51st Ave, Tucson, AZ, 85712",1042 N 51st Ave,Tucson,AZ,85712,33.4602066,-112.1694855
76,24/7,"1045 N 24th St., Tucson, AZ, 85712",1045 N 24th St.,Tucson,AZ,85712,32.2046897,-110.9532372
Circle K,24/7,"1609 N 91st Ave, Tucson, AZ, 85712",1609 N 91st Ave,Tucson,AZ,85712,33.4655495,-112.254818
Circle K,24/7,"11339 W Bell Road, Tucson, AZ, 85712",11339 W Bell Road,Tucson,AZ,85712,33.6382887,-112.3048576
Circle K,24/7,"119 W University Dr, Tucson, AZ, 85712",119 W University Dr,Tucson,AZ,85712,32.2316083,-110.9740685
Arizona Malls Shopping Mall,24/7,"5000 Arizona Mills Circle, Tucson, AZ, 85712",5000 Arizona Mills Circle,Tucson,AZ,85712,33.3832233,-111.9644216
Pride Food Mart,24/7,"1734 E Apache Blvd., Tucson, AZ, 85712",1734 E Apache Blvd.,Tucson,AZ,85712,33.4152126,-111.9096244
Kwik Mart,24/7,"606 W Broadway Rd, Tucson, AZ, 85712",606 W Broadway Rd,Tucson,AZ,85712,32.2205792,-110.9617902
Circle K,24/7,"977 E Speedway Blvd, Tucson, AZ, 85712",977 E Speedway Blvd,Tucson,AZ,85712,32.2364085,-110.9571833
Circle K,24/7,"2616 S Mission Rd, Tucson, AZ, 85712",2616 S Mission Rd,Tucson,AZ,85712,32.1917962,-110.9998753
AM/PM,24/7,"2891 W Valencia Rd., Tucson, AZ, 85712",2891 W Valencia Rd.,Tucson,AZ,85712,32.133325,-111.0283201
Circle K,24/7,"6310 E Golf Links Rd, Tucson, AZ, 85712",6310 E Golf Links Rd,Tucson,AZ,85712,32.1913594,-110.8571521
Chevron E Speedway,24/7,"8530 E Speedway Blvd, Tucson, AZ, 85712",8530 E Speedway Blvd,Tucson,AZ,85712,32.2349934,-110.8102859
Circle  K,24/7,"5502 E Speedway Blvd, Tucson, AZ, 85712",5502 E Speedway Blvd,Tucson,AZ,85712,32.2357872,-110.8750829
Sunshine Express Food Mart - Texaco,24/7,"1005 W South St, West Memphis, AR, 72301",1005 W South St,West Memphis,AR,72301,35.1377209,-90.19633639999999
White Oak Station,24/7,"1140 E Centerton Blvd, West Memphis, AR, 72301",1140 E Centerton Blvd,West Memphis,AR,72301,36.3583094,-94.2655657
Valero,24/7,"515 Harkrider St, West Memphis, AR, 72301",515 Harkrider St,West Memphis,AR,72301,35.0929776,-92.43665070000002
Wild Bill's,24/7,"1240 Garland Ave, West Memphis, AR, 72301",1240 Garland Ave,West Memphis,AR,72301,35.1581461,-90.1549847
Fast Trax,24/7,"1500 S School Ave, West Memphis, AR, 72301",1500 S School Ave,West Memphis,AR,72301,35.1377209,-90.19633639999999
Pic N Tote,24/7,"2000 Phoenix Ave, West Memphis, AR, 72301",2000 Phoenix Ave,West Memphis,AR,72301,35.1454262,-90.22286059999999
Pic-N-Tote,24/7,"6600 Phoenix Ave, West Memphis, AR, 72301",6600 Phoenix Ave,West Memphis,AR,72301,35.1473366,-90.1707119
Garrison Liquor,24/7,"415 Garrison Ave Suite B, West Memphis, AR, 72301",415 Garrison Ave Suite B,West Memphis,AR,72301,35.1318693,-90.19312459999999
Speedy Wolf,24/7,"1203 W Parker Road, West Memphis, AR, 72301",1203 W Parker Road,West Memphis,AR,72301,35.8072551,-90.7225467
MS Express,24/7,"3224 S Caraway Road, West Memphis, AR, 72301",3224 S Caraway Road,West Memphis,AR,72301,35.14984390000001,-90.2134019
